Sheltered_SH_Homeless
"Akron, Barberton/Summit County CoC"
Alexandria CoC
Austin/Travis County CoC
Baltimore CoC
Battle Creek/Calhoun County CoC
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC"
Boston CoC
"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC"
Carroll County CoC
Charleston/Low Country CoC
Chicago CoC
Cincinnati/Hamilton County CoC
Cleveland/Cuyahoga County CoC
Cook County CoC
"Dallas City & County, Irving CoC"
"Dearborn, Dearborn Heights, Westland/Wayne County CoC"
Delaware Statewide CoC
Delta Hills CoC
Des Moines/Polk County CoC
Detroit CoC
DuPage County CoC
"Fort Worth, Arlington/Tarrant County CoC"
Fresno City & County/Madera County CoC
Ft Lauderdale/Broward County CoC
Gadsden/Northeast Alabama CoC
"Gloucester, Haverhill, Salem/Essex County CoC"
"Greenville, Anderson, Spartanburg/Upstate CoC"
Harrisburg/Dauphin County CoC
"Hillsboro, Beaverton/Washington County CoC"
"Huntington/Cabell, Wayne Counties CoC"
Indiana Balance of State CoC
Indianapolis CoC
Iowa Balance of State CoC
Jackson/West Tennessee CoC
"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS"
"Lansing, East Lansing/Ingham County CoC"
Las Vegas/Clark County CoC
Los Angeles City & County CoC
Madison/Dane County CoC
Maine Statewide CoC
Manchester CoC
Massachusetts Balance of State CoC
Metropolitan Denver CoC
Miami-Dade County CoC
Milwaukee City & County CoC
Minneapolis/Hennepin County CoC
Missouri Balance of State CoC
Montgomery County CoC
Morris County CoC
Nashua/Hillsborough County CoC
Nashville-Davidson County CoC
"Nassau, Suffolk Counties CoC"
New Orleans/Jefferson Parish CoC
New York City CoC
"Oakland, Berkeley/Alameda County CoC"
Ohio Balance of State CoC
"Oxnard, San Buenaventura/Ventura County CoC"
"Peoria, Pekin/Fulton, Tazewell, Peoria, Woodford Counties CoC"
Philadelphia CoC
"Phoenix, Mesa/Maricopa County CoC"
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC"
Puerto Rico Balance of Commonwealth CoC
"Quincy, Brockton, Weymouth, Plymouth City and County CoC"
"Reno, Sparks/Washoe County CoC"
"Richmond/Henrico, Chesterfield, Hanover Counties CoC"
"Rochester, Irondequoit, Greece/Monroe County CoC"
Saginaw City & County CoC
San Bernardino City & County CoC
San Diego City and County CoC
San Francisco CoC
San Jose/Santa Clara City & County CoC
Scranton/Lackawanna County CoC
Seattle/King County CoC
"Shreveport, Bossier/Northwest Louisiana CoC"
South-Southeast Puerto Rico CoC
Springfield/Hampden County CoC
"St. Clair Shores, Warren/Macomb County CoC"
"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC"
"St. Petersburg, Clearwater, Largo/Pinellas County CoC"
Tampa/Hillsborough County CoC
Toledo/Lucas County CoC
Tucson/Pima County CoC
Tulsa City & County CoC
Waco/McLennan County CoC
"Wayne, Ontario, Seneca, Yates Counties CoC"
Western Pennsylvania CoC
"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC"
Wichita/Sedgwick County CoC
Wisconsin Balance of State CoC
Worcester City & County CoC
