CoC_Name,State,Overall_Homeless,Unsheltered_Homeless,Unsheltered_Percentage
Springfield/Hampden County CoC,MA,3368,44,1.3064133016627077
"Nassau, Suffolk Counties CoC",NY,3868,52,1.344364012409514
